Date,Close/Last,Volume,Open,High,Low
02/03/2016,$30.14,695327,$30.00,$30.14,$29.47
02/04/2016,$29.40,1049206,$30.04,$30.38,$29.35
02/05/2016,$28.62,914713,$29.40,$29.51,$28.45
02/08/2016,$27.84,1379416,$28.28,$28.30,$27.63
02/09/2016,$27.54,1344655,$27.57,$27.984,$27.38
02/10/2016,$27.50,808806,$27.63,$27.81,$27.40
02/11/2016,$27.09,1063008,$27.10,$27.36,$26.91
02/12/2016,$27.39,1204353,$27.24,$27.54,$26.89
02/16/2016,$28.02,658144,$27.68,$28.155,$27.58
02/17/2016,$29.33,830001,$28.10,$29.40,$28.09
02/18/2016,$29.36,829638,$29.32,$29.59,$29.2115
02/19/2016,$29.78,583291,$29.26,$29.88,$29.14
02/22/2016,$30.08,1163944,$29.85,$30.15,$29.69
02/23/2016,$30.99,944762,$30.05,$31.21,$30.05
02/24/2016,$30.72,829990,$30.81,$30.87,$30.31
02/25/2016,$31.42,955560,$30.85,$31.90,$30.7625
02/26/2016,$31.83,829009,$31.79,$32.06,$31.39
02/29/2016,$31.90,901786,$31.78,$32.29,$31.69
03/01/2016,$32.32,500540,$31.94,$32.50,$31.94
03/02/2016,$32.72,656450,$32.25,$32.77,$32.25
03/03/2016,$32.47,610248,$32.45,$32.53,$32.14
03/04/2016,$32.34,366716,$32.40,$32.57,$32.13
03/07/2016,$33.04,471203,$32.28,$33.17,$32.18
03/08/2016,$32.73,753810,$32.74,$32.97,$32.30
03/09/2016,$32.60,383470,$32.87,$33.01,$32.53
03/10/2016,$32.65,407148,$32.59,$33.08,$32.49
03/11/2016,$32.76,497210,$32.77,$32.98,$32.72
03/14/2016,$32.88,450539,$32.56,$33.03,$32.56
03/15/2016,$33.27,491845,$32.74,$33.43,$32.645
03/16/2016,$33.41,411888,$33.33,$33.66,$33.13
03/17/2016,$33.72,406513,$33.42,$33.88,$33.34
03/18/2016,$34.33,1194943,$34.60,$34.61,$33.70
03/21/2016,$34.20,464378,$34.26,$34.49,$34.15
03/22/2016,$33.85,579542,$34.05,$34.07,$33.81
03/23/2016,$33.56,847517,$33.71,$33.88,$33.46
03/24/2016,$33.97,480175,$33.44,$33.97,$33.26
03/28/2016,$33.80,217784,$33.97,$34.19,$33.74
03/29/2016,$33.96,257136,$33.70,$33.98,$33.565
03/30/2016,$34.21,322755,$34.18,$34.34,$33.93
03/31/2016,$33.56,369853,$34.01,$34.15,$33.55
04/01/2016,$33.73,1377310,$33.32,$33.91,$33.06
04/04/2016,$33.20,801230,$33.63,$33.76,$33.16
04/05/2016,$32.72,567721,$33.03,$33.04,$32.55
04/06/2016,$32.69,538074,$32.75,$32.87,$32.41
04/07/2016,$32.38,348139,$32.60,$32.61,$32.32
04/08/2016,$32.36,610353,$32.54,$32.68,$32.26
04/11/2016,$32.39,475032,$32.41,$32.73,$32.235
04/12/2016,$32.59,682307,$32.46,$32.75,$32.34
04/13/2016,$33.05,443026,$32.73,$33.175,$32.69
04/14/2016,$32.91,667406,$33.14,$33.28,$32.86
04/15/2016,$32.94,438067,$32.94,$33.01,$32.87
04/18/2016,$33.10,418887,$32.72,$33.15,$32.72
04/19/2016,$33.17,430618,$33.24,$33.37,$33.09
04/20/2016,$33.25,689577,$33.23,$33.35,$32.97
04/21/2016,$33.23,287152,$33.22,$33.43,$33.14
04/22/2016,$33.32,371576,$33.28,$33.42,$33.13
04/25/2016,$32.52,795146,$33.20,$33.29,$32.36
04/26/2016,$33.04,971850,$32.53,$33.06,$32.53
04/27/2016,$33.78,711561,$33.07,$33.83,$32.97
04/28/2016,$33.57,417119,$33.56,$34.01,$33.391
04/29/2016,$33.39,485640,$33.50,$33.58,$33.18
05/02/2016,$33.28,657296,$33.37,$33.4225,$33.135
05/03/2016,$33.70,977004,$33.89,$34.89,$33.50
05/04/2016,$32.86,754487,$33.62,$33.72,$32.735
05/05/2016,$32.78,731103,$32.87,$33.07,$32.58
05/06/2016,$33.05,652588,$32.81,$33.075,$32.70
05/09/2016,$33.37,785957,$33.16,$33.55,$33.00
05/10/2016,$34.16,812056,$33.30,$34.20,$33.215
05/11/2016,$34.13,725777,$34.08,$34.60,$33.9075
05/12/2016,$34.46,570185,$34.19,$34.57,$34.061
05/13/2016,$33.83,671470,$34.46,$34.54,$33.71
05/16/2016,$34.55,786767,$33.93,$34.681,$33.735
05/17/2016,$34.14,761057,$34.58,$34.70,$33.94
05/18/2016,$34.29,611270,$34.07,$34.42,$33.83
05/19/2016,$34.17,624589,$34.15,$34.28,$33.91
05/20/2016,$34.86,783929,$34.36,$34.95,$34.14
05/23/2016,$34.58,496945,$34.85,$34.99,$34.35
05/24/2016,$34.91,400408,$34.71,$34.99,$34.53
05/25/2016,$34.85,796957,$34.94,$35.50,$34.72
05/26/2016,$35.07,352905,$34.85,$35.19,$34.83
05/27/2016,$35.11,180685,$35.07,$35.17,$34.95
05/31/2016,$35.17,501743,$35.14,$35.33,$35.11
06/01/2016,$35.65,562122,$34.91,$35.66,$34.91
06/02/2016,$35.71,463192,$35.46,$35.72,$35.39
06/03/2016,$35.81,442429,$35.64,$35.91,$35.465
06/06/2016,$35.90,550380,$35.75,$36.10,$35.65
06/07/2016,$36.03,710952,$36.00,$36.38,$35.919
06/08/2016,$35.74,658735,$36.01,$36.20,$35.65
06/09/2016,$35.93,357379,$35.59,$35.96,$35.50
06/10/2016,$35.45,387908,$35.56,$35.825,$35.265
06/13/2016,$35.05,518024,$35.28,$35.43,$35.02
06/14/2016,$34.93,542710,$34.94,$35.175,$34.695
06/15/2016,$35.14,406015,$34.85,$35.19,$34.85
06/16/2016,$35.13,461039,$34.96,$35.21,$34.72
06/17/2016,$35.31,504537,$35.07,$35.3564,$35.07
06/20/2016,$35.49,466257,$35.74,$35.82,$35.37
06/21/2016,$35.89,526322,$35.57,$35.97,$35.55
06/22/2016,$36.15,598710,$35.89,$36.22,$35.79
06/23/2016,$36.12,577188,$36.40,$36.43,$35.92
06/24/2016,$35.08,2631688,$35.00,$35.48,$35.00
06/27/2016,$34.16,812580,$34.74,$34.80,$33.85
06/28/2016,$34.79,702066,$34.40,$34.88,$34.40
06/29/2016,$35.31,717737,$35.08,$35.44,$35.00
06/30/2016,$35.77,526770,$35.34,$35.79,$35.29
07/01/2016,$35.34,568249,$35.77,$35.94,$35.18
07/05/2016,$34.82,479371,$35.09,$35.17,$34.69
07/06/2016,$35.30,621709,$34.85,$35.39,$34.75
07/07/2016,$35.45,485080,$35.32,$35.70,$35.32
07/08/2016,$35.69,551730,$35.73,$35.82,$35.48
07/11/2016,$35.76,324756,$35.76,$35.91,$35.75
07/12/2016,$35.75,347377,$36.00,$36.00,$35.74
07/13/2016,$36.14,655113,$36.05,$36.45,$36.05
07/14/2016,$36.33,712148,$36.48,$36.53,$36.03
07/15/2016,$36.01,626730,$36.50,$36.52,$35.96
07/18/2016,$35.92,324199,$36.10,$36.10,$35.80
07/19/2016,$35.99,332383,$35.93,$36.14,$35.87
07/20/2016,$36.13,342707,$35.99,$36.16,$35.83
07/21/2016,$35.73,268012,$36.16,$36.16,$35.71
07/22/2016,$35.61,357475,$35.74,$35.9699,$35.34
07/25/2016,$36.03,984559,$35.57,$36.04,$35.37
07/26/2016,$36.45,330743,$36.10,$36.47,$36.10
07/27/2016,$36.55,392645,$36.50,$36.60,$36.26
07/28/2016,$36.60,707969,$36.57,$36.63,$36.40
07/29/2016,$36.81,433489,$36.62,$36.90,$36.49
08/01/2016,$36.88,469368,$36.81,$36.92,$36.70
08/02/2016,$36.83,515481,$36.76,$36.92,$36.58
08/03/2016,$37.18,814419,$36.73,$37.19,$36.67
08/04/2016,$37.35,401525,$37.20,$37.48,$37.17
08/05/2016,$37.98,1563816,$37.42,$38.21,$37.35
08/08/2016,$37.96,852748,$37.95,$38.07,$37.80
08/09/2016,$37.92,918075,$38.05,$38.613,$37.61
08/10/2016,$37.90,803014,$38.03,$38.16,$37.765
08/11/2016,$38.29,1310336,$37.90,$38.47,$37.80
08/12/2016,$38.37,881191,$38.35,$38.505,$38.10
08/15/2016,$38.54,554633,$38.29,$38.71,$38.21
08/16/2016,$38.25,392844,$38.50,$38.525,$38.23
08/17/2016,$38.99,845590,$38.20,$39.01,$38.09
08/18/2016,$39.32,620820,$38.96,$39.51,$38.95
08/19/2016,$39.37,516332,$39.31,$39.41,$39.16
08/22/2016,$39.17,511556,$39.35,$39.40,$39.025
08/23/2016,$39.34,703143,$39.42,$39.49,$39.20
08/24/2016,$39.10,327244,$39.40,$39.46,$39.06
08/25/2016,$38.89,489222,$39.10,$39.10,$38.74
08/26/2016,$39.03,367557,$38.84,$39.20,$38.82
08/29/2016,$39.26,463843,$39.13,$39.45,$39.13
08/30/2016,$39.06,434864,$39.24,$39.34,$38.9025
08/31/2016,$38.81,547097,$39.08,$39.10,$38.63
09/01/2016,$39.12,677975,$38.87,$39.18,$38.70
09/02/2016,$39.30,385222,$39.22,$39.355,$39.14
09/06/2016,$39.22,386612,$39.30,$39.39,$39.02
09/07/2016,$39.06,728339,$39.22,$39.43,$38.99
09/08/2016,$39.66,465724,$39.10,$39.70,$39.025
09/09/2016,$39.17,762559,$39.36,$39.39,$39.00
09/12/2016,$39.19,766184,$38.95,$39.45,$38.83
09/13/2016,$38.10,958263,$38.83,$39.22,$38.10
09/14/2016,$37.91,335840,$38.21,$38.36,$37.87
09/15/2016,$38.69,389428,$37.74,$38.79,$37.74
09/16/2016,$38.42,640030,$38.65,$38.81,$38.26
09/19/2016,$38.44,683443,$38.77,$38.77,$38.21
09/20/2016,$38.37,367121,$38.73,$38.87,$38.37
09/21/2016,$38.93,338568,$38.44,$38.95,$38.43
09/22/2016,$39.44,406762,$39.25,$39.49,$39.13
09/23/2016,$38.92,475136,$39.24,$39.3293,$38.89
09/26/2016,$38.76,420054,$38.83,$39.10,$38.69
09/27/2016,$38.99,667594,$38.66,$39.09,$38.66
09/28/2016,$39.01,511386,$38.99,$39.30,$38.81
09/29/2016,$38.39,659978,$38.78,$39.04,$38.22
09/30/2016,$38.37,494713,$38.46,$38.63,$38.37
10/03/2016,$38.27,381023,$38.32,$38.40,$38.195
10/04/2016,$38.11,354598,$38.26,$38.46,$37.97
10/05/2016,$38.19,858797,$38.25,$38.43,$37.90
10/06/2016,$38.38,442783,$38.17,$38.41,$38.06
10/07/2016,$38.35,759469,$38.34,$38.46,$38.07
10/10/2016,$38.59,319567,$38.44,$38.82,$38.44
10/11/2016,$37.79,510918,$38.52,$38.62,$37.57
10/12/2016,$38.01,302237,$37.75,$38.25,$37.63
10/13/2016,$37.88,351288,$37.75,$37.99,$37.61
10/14/2016,$37.81,376835,$38.00,$38.32,$37.72
10/17/2016,$38.36,435950,$37.68,$38.45,$37.68
10/18/2016,$38.52,480348,$38.51,$38.67,$38.25
10/19/2016,$38.90,704604,$38.50,$39.04,$38.40
10/20/2016,$38.70,551030,$38.77,$38.88,$38.42
10/21/2016,$38.76,457326,$38.46,$38.79,$38.32
10/24/2016,$39.05,322768,$38.93,$39.2021,$38.92
10/25/2016,$38.75,664294,$38.79,$39.02,$38.68
10/26/2016,$38.68,550967,$38.62,$38.91,$38.62
10/27/2016,$38.60,378238,$38.66,$38.68,$38.43
10/28/2016,$38.89,330012,$38.68,$39.34,$38.68
10/31/2016,$39.22,682622,$38.84,$39.34,$38.84
11/01/2016,$37.75,2055571,$38.92,$38.93,$36.95
11/02/2016,$37.34,1889446,$37.67,$37.67,$36.96
11/03/2016,$36.68,1267156,$37.36,$37.49,$36.43
11/04/2016,$36.37,1121072,$36.57,$36.69,$36.16
11/07/2016,$36.88,810947,$36.96,$37.18,$36.725
11/08/2016,$36.63,696224,$36.85,$37.06,$36.56
11/09/2016,$39.54,2924615,$36.63,$39.80,$36.63
11/10/2016,$39.39,858759,$39.66,$40.01,$39.0601
11/11/2016,$39.78,774502,$39.33,$39.825,$39.24
11/14/2016,$40.23,1119125,$39.97,$40.6599,$39.88
11/15/2016,$40.37,891213,$40.00,$40.48,$39.99
11/16/2016,$40.10,768048,$40.22,$40.43,$39.89
11/17/2016,$39.99,689666,$40.23,$40.31,$39.76
11/18/2016,$39.28,914150,$39.43,$39.78,$39.22
11/21/2016,$39.70,671108,$39.36,$39.77,$39.19
11/22/2016,$40.06,935402,$39.91,$40.10,$39.67
11/23/2016,$40.15,414940,$40.13,$40.31,$39.95
11/25/2016,$40.52,233716,$40.24,$40.52,$40.23
11/28/2016,$39.82,644061,$40.43,$40.43,$39.75
11/29/2016,$39.54,610802,$39.76,$40.00,$39.46
11/30/2016,$39.16,984610,$39.75,$39.95,$38.94
12/01/2016,$38.95,621479,$39.16,$39.415,$38.82
12/02/2016,$39.19,609915,$38.85,$39.46,$38.81
12/05/2016,$39.12,375608,$39.25,$39.42,$38.93
12/06/2016,$39.28,752970,$39.12,$39.32,$38.76
12/07/2016,$39.20,503041,$39.41,$39.495,$39.02
12/08/2016,$38.95,853135,$39.08,$39.205,$38.845
12/09/2016,$39.02,415580,$38.95,$39.16,$38.835
12/12/2016,$38.89,569520,$39.00,$39.06,$38.72
12/13/2016,$38.79,545428,$39.01,$39.26,$38.53
12/14/2016,$38.35,850132,$38.77,$39.06,$38.2919
12/15/2016,$37.89,1160333,$38.28,$38.38,$37.63
12/16/2016,$38.19,1708287,$37.84,$38.235,$37.84
12/19/2016,$38.76,1209312,$38.42,$38.82,$37.98
12/20/2016,$39.09,1710267,$38.68,$39.11,$38.50
12/21/2016,$39.15,1093197,$39.11,$39.64,$39.03
12/22/2016,$39.90,1017398,$39.24,$40.00,$39.01
12/23/2016,$39.79,653834,$39.85,$40.27,$39.655
12/27/2016,$40.17,460929,$40.07,$40.34,$39.93
12/28/2016,$39.55,432603,$40.13,$40.205,$39.50
12/29/2016,$39.73,539984,$39.63,$39.89,$39.47
12/30/2016,$39.70,582515,$39.80,$39.83,$39.51
01/03/2017,$39.22,1072810,$39.79,$40.30,$39.09
01/04/2017,$39.41,1115394,$39.44,$39.53,$39.03
01/05/2017,$39.81,1409920,$39.53,$39.91,$39.44
01/06/2017,$39.62,746517,$39.89,$40.10,$39.50
01/09/2017,$39.58,677446,$39.62,$39.68,$39.315
01/10/2017,$40.10,962769,$39.55,$40.28,$39.55
01/11/2017,$40.82,1175370,$39.97,$40.87,$39.97
01/12/2017,$40.85,673602,$40.92,$40.92,$40.45
01/13/2017,$40.99,687049,$40.92,$41.05,$40.7475
01/17/2017,$40.73,1061749,$40.85,$40.93,$40.48
01/18/2017,$40.67,1266557,$40.54,$40.78,$40.2178
01/19/2017,$41.49,861745,$41.09,$41.63,$40.94
01/20/2017,$41.47,1052754,$41.67,$41.67,$41.18
01/23/2017,$41.46,658692,$41.64,$41.79,$41.42
01/24/2017,$42.04,573487,$41.46,$42.09,$41.311
01/25/2017,$41.94,933678,$42.15,$42.43,$41.88
01/26/2017,$41.74,721620,$41.97,$42.04,$41.67
01/27/2017,$41.88,550082,$41.71,$41.94,$41.65
01/30/2017,$41.85,777942,$41.65,$41.92,$41.37
01/31/2017,$41.49,802117,$41.65,$41.74,$41.085
02/01/2017,$41.57,445796,$41.66,$41.79,$41.34
02/02/2017,$41.52,720017,$41.41,$41.66,$41.38
02/03/2017,$41.72,394049,$41.62,$41.83,$41.55
02/06/2017,$41.73,495354,$41.75,$41.82,$41.55
02/07/2017,$41.64,700110,$41.75,$41.85,$41.555
02/08/2017,$41.77,511798,$41.47,$41.81,$41.38
02/09/2017,$41.90,556099,$41.77,$42.20,$41.76
02/10/2017,$41.97,476034,$42.14,$42.14,$41.69
02/13/2017,$42.29,1091256,$42.24,$42.786,$42.10
02/14/2017,$42.11,518780,$42.19,$42.23,$41.91
02/15/2017,$42.38,505350,$42.00,$42.41,$41.98
02/16/2017,$42.43,459566,$42.42,$42.60,$42.05
02/17/2017,$42.24,515652,$42.43,$42.44,$41.90
02/21/2017,$42.46,1006083,$42.23,$42.71,$42.07
02/22/2017,$42.49,1111762,$42.39,$42.71,$42.22
02/23/2017,$42.41,761344,$42.56,$42.73,$41.985
02/24/2017,$42.40,1012756,$42.22,$42.49,$41.9801
02/27/2017,$42.75,1952278,$42.28,$43.26,$42.27
02/28/2017,$46.44,4198046,$44.50,$48.36,$44.50
03/01/2017,$48.01,1954788,$47.07,$48.05,$46.84
03/02/2017,$47.40,1545643,$47.85,$48.32,$47.34
03/03/2017,$47.79,1719513,$47.35,$48.29,$47.30
03/06/2017,$47.67,1337443,$47.48,$47.71,$47.03
03/07/2017,$47.14,2040462,$47.47,$47.64,$46.985
03/08/2017,$46.02,1359459,$46.91,$47.13,$45.94
03/09/2017,$46.34,1332698,$45.94,$46.345,$45.56
03/10/2017,$46.12,989740,$46.49,$46.97,$45.96
03/13/2017,$46.43,645032,$46.09,$46.53,$46.0128
03/14/2017,$46.43,652312,$46.26,$46.46,$46.00
03/15/2017,$46.90,796411,$46.49,$47.19,$46.47
03/16/2017,$46.73,572204,$47.08,$47.08,$46.64
03/17/2017,$47.00,1185067,$46.89,$47.26,$46.69
03/20/2017,$46.85,563923,$46.98,$47.27,$46.77
03/21/2017,$47.14,1516518,$47.70,$49.11,$47.12
03/22/2017,$47.74,930905,$47.11,$47.85,$47.11
03/23/2017,$47.90,837881,$47.76,$48.06,$47.54
03/24/2017,$47.52,568893,$47.85,$48.04,$47.515
03/27/2017,$47.25,511801,$47.06,$47.31,$46.57
03/28/2017,$47.64,438342,$47.19,$47.83,$47.11
03/29/2017,$47.54,567759,$47.59,$47.74,$47.455
03/30/2017,$48.10,490118,$47.53,$48.18,$47.53
03/31/2017,$47.60,563932,$47.92,$48.22,$47.60
04/03/2017,$47.20,643783,$47.68,$47.93,$47.05
04/04/2017,$47.44,659147,$47.07,$47.61,$47.07
