Date,Close/Last,Volume,Open,High,Low
02/02/2016,$13.6624,50382,$13.8844,$13.8844,$13.5216
02/03/2016,$13.944,49830,$13.8844,$14.1281,$13.7003
02/04/2016,$14.3285,66324,$14.2635,$14.4205,$14.1119
02/05/2016,$14.231,115512,$14.4422,$14.4422,$14.231
02/08/2016,$14.675,65019,$14.296,$14.6859,$14.0469
02/09/2016,$14.2635,79620,$14.6317,$14.6317,$14.1877
02/10/2016,$13.4187,92539,$14.231,$14.3014,$13.3808
02/11/2016,$13.7599,75529,$13.2075,$13.7599,$13.0397
02/12/2016,$13.6624,60888,$14.2472,$14.2472,$13.6353
02/16/2016,$14.101,111774,$13.9494,$14.2072,$13.7707
02/17/2016,$14.6263,83904,$14.2581,$14.7779,$14.2017
02/18/2016,$14.4151,40906,$14.6913,$14.7779,$14.4097
02/19/2016,$14.4747,67627,$14.2472,$14.5126,$14.1086
02/22/2016,$14.74,62404,$14.7129,$14.7779,$14.5126
02/23/2016,$14.5776,90297,$14.6696,$14.7996,$14.5126
02/24/2016,$14.6263,58968,$14.4855,$14.6859,$14.3068
02/25/2016,$14.7942,67377,$14.6317,$14.8104,$14.518
02/26/2016,$14.7238,84456,$15.0054,$15.0054,$14.4855
02/29/2016,$14.1823,82992,$14.7346,$14.9241,$14.0956
03/01/2016,$14.8646,86217,$14.4151,$15.0703,$14.4151
03/02/2016,$15.0433,58539,$14.8158,$15.0703,$14.7617
03/03/2016,$14.9674,87793,$14.9133,$15.2978,$14.9133
03/04/2016,$15.6064,57763,$15.1461,$15.6281,$15.1461
03/07/2016,$15.7889,64792,$15.5956,$15.823,$15.5306
03/08/2016,$15.7581,57931,$15.7581,$15.8122,$15.574
03/09/2016,$15.9584,53232,$15.8122,$16.1859,$15.8122
03/10/2016,$15.7689,69531,$15.8772,$15.9205,$15.6389
03/11/2016,$15.7743,78636,$16.0721,$16.0776,$15.7472
03/14/2016,$15.7797,60480,$15.7581,$15.8934,$15.6525
03/15/2016,$15.4169,50682,$15.5956,$15.601,$15.3519
03/16/2016,$15.6119,52296,$15.4169,$15.7445,$15.2328
03/17/2016,$15.823,49474,$15.7472,$15.9584,$15.7472
03/18/2016,$15.5902,40183,$15.9368,$15.9368,$15.5577
03/21/2016,$15.7202,35385,$15.5902,$15.8068,$15.5198
03/22/2016,$15.8393,29268,$15.6227,$15.8393,$15.5469
03/23/2016,$15.3898,36912,$15.8285,$15.8285,$15.3898
03/24/2016,$15.3519,26692,$15.2599,$15.4765,$15.2328
03/28/2016,$15.5739,78174,$15.3357,$15.5902,$15.3357
03/29/2016,$15.8609,41085,$15.4981,$16.0071,$15.4933
03/30/2016,$16.148,71037,$15.9205,$16.2454,$15.8393
03/31/2016,$16.2183,55203,$16.24,$16.3537,$16.0992
04/01/2016,$16.3429,37563,$16.1534,$16.397,$16.0597
04/04/2016,$16.0288,31960,$16.2779,$16.3591,$15.9476
04/05/2016,$15.8401,40228,$15.8989,$15.9855,$15.7851
04/06/2016,$15.7906,33964,$15.8609,$15.9313,$15.7202
04/07/2016,$15.7093,39204,$15.7472,$15.8393,$15.666
04/08/2016,$15.9855,31824,$15.8772,$16.0505,$15.8664
04/11/2016,$16.0234,38124,$15.9801,$16.2075,$15.9801
04/12/2016,$15.7581,54790,$16.083,$16.2346,$15.7581
04/13/2016,$15.7093,54073,$15.731,$15.9042,$15.7093
04/14/2016,$15.8447,29700,$15.796,$15.8979,$15.7527
04/15/2016,$15.8122,53550,$15.8447,$15.8664,$15.7147
04/18/2016,$15.8609,36892,$15.6985,$15.8775,$15.5799
04/19/2016,$15.8826,131704,$16.0017,$16.1371,$15.796
04/20/2016,$15.953,89098,$15.8501,$16.0862,$15.8339
04/21/2016,$15.9313,51861,$16.0288,$16.0938,$15.6931
04/22/2016,$15.9801,18855,$15.9693,$16.058,$15.9368
04/25/2016,$15.8501,57186,$16.0342,$16.0342,$15.7527
04/26/2016,$15.6606,68925,$15.8555,$15.9476,$15.5696
