Date,Close/Last,Volume,Open,High,Low
02/03/2026,$126.15,5320433,$125.53,$128.145,$122.55
02/02/2026,$120.21,5398567,$122.19,$126.11,$119.30
01/30/2026,$123.39,7236792,$128.50,$130.23,$121.54
01/29/2026,$133.67,7212379,$135.24,$135.24,$126.00
01/28/2026,$134.09,6208112,$128.01,$134.13,$126.56
01/27/2026,$125.97,4366973,$122.13,$127.14,$120.4009
01/26/2026,$121.26,4825709,$126.88,$128.40,$120.29
01/23/2026,$124.04,3401473,$122.91,$124.1116,$120.61
01/22/2026,$121.87,4021619,$124.73,$126.47,$120.51
01/21/2026,$122.33,5503282,$119.65,$122.42,$117.15
01/20/2026,$115.80,4188744,$115.27,$118.29,$114.52
01/16/2026,$116.44,5628679,$114.57,$118.54,$113.30
01/15/2026,$112.84,3812998,$111.05,$114.39,$109.80
01/14/2026,$110.79,3400914,$108.96,$111.86,$106.87
01/13/2026,$108.92,3802876,$111.11,$111.47,$108.38
01/12/2026,$109.79,3813999,$108.50,$111.12,$107.08
01/09/2026,$107.56,6850001,$109.58,$114.45,$106.12
01/08/2026,$105.76,4966561,$104.47,$106.215,$102.83
01/07/2026,$103.94,3965537,$102.30,$104.15,$101.00
01/06/2026,$102.09,3797914,$101.15,$102.81,$99.16
01/05/2026,$100.17,4887163,$100.17,$100.89,$96.427
01/02/2026,$98.56,4768223,$93.00,$99.08,$92.82
12/31/2025,$91.49,1598154,$91.13,$92.70,$90.8904
12/30/2025,$91.37,2140704,$93.30,$93.6416,$91.23
12/29/2025,$92.84,2005456,$91.67,$95.665,$91.61
12/26/2025,$92.84,1322931,$93.92,$94.30,$92.50
12/24/2025,$93.34,1151162,$93.08,$94.28,$92.65
12/23/2025,$93.41,2167277,$91.71,$95.10,$91.71
12/22/2025,$91.71,3302609,$91.99,$94.88,$90.92
12/19/2025,$89.99,6289361,$88.26,$91.68,$87.94
12/18/2025,$87.58,2785827,$86.46,$88.45,$86.13
12/17/2025,$84.85,3535365,$88.21,$88.24,$84.29
12/16/2025,$87.05,3986422,$88.96,$89.94,$86.74
12/15/2025,$89.78,3856830,$92.42,$93.49,$89.44
12/12/2025,$91.49,5592264,$95.15,$95.98,$88.79
12/11/2025,$95.74,3263136,$93.19,$96.57,$92.26
12/10/2025,$93.76,3792473,$93.02,$93.84,$89.01
12/09/2025,$93.36,3192823,$90.00,$93.88,$89.7576
12/08/2025,$90.90,2608272,$91.66,$92.69,$90.66
12/05/2025,$91.27,4654509,$95.00,$95.00,$90.66
12/04/2025,$94.09,4184952,$89.28,$94.53,$89.28
12/03/2025,$89.45,1890604,$88.10,$90.04,$86.40
12/02/2025,$88.23,2540308,$88.10,$90.39,$87.6207
12/01/2025,$87.53,2507810,$87.14,$88.69,$86.38
11/28/2025,$88.51,1747849,$89.00,$89.31,$88.03
11/26/2025,$88.81,2924823,$88.81,$89.66,$87.70
11/25/2025,$87.35,5827190,$84.00,$87.6701,$82.43
11/24/2025,$83.34,3923117,$79.69,$83.48,$79.16
11/21/2025,$79.44,7149955,$81.80,$82.00,$77.70
