Date,Close/Last,Volume,Open,High,Low
02/03/2026,$280.47,1015239,$279.90,$291.63,$270.81
02/02/2026,$267.21,1148712,$279.21,$289.9999,$263.00
01/30/2026,$278.28,1590604,$292.245,$304.93,$276.00
01/29/2026,$301.50,2082097,$336.00,$339.71,$291.059
01/28/2026,$337.76,1844278,$313.00,$338.13,$303.57
01/27/2026,$309.39,1348844,$282.00,$317.45,$275.00
01/26/2026,$281.70,1404090,$301.44,$312.70,$279.09
01/23/2026,$296.19,1005205,$308.79,$309.03,$290.30
01/22/2026,$302.37,1240380,$305.00,$319.00,$293.60
01/21/2026,$303.94,2238455,$329.21,$345.60,$290.10
01/20/2026,$315.92,1376236,$323.00,$337.7258,$309.23
01/16/2026,$331.03,1612940,$309.00,$331.36,$298.00
01/15/2026,$306.10,1403416,$314.24,$333.49,$303.81
01/14/2026,$307.57,949817,$296.14,$312.50,$286.00
01/13/2026,$298.27,1159809,$319.89,$332.00,$297.1072
01/12/2026,$309.26,763409,$308.48,$315.87,$296.00
01/09/2026,$306.19,1228665,$304.99,$318.0525,$300.005
01/08/2026,$286.25,1536281,$317.98,$317.98,$285.12
01/07/2026,$322.97,967342,$310.46,$326.3599,$306.00
01/06/2026,$311.89,1486424,$311.00,$321.709,$299.00
01/05/2026,$300.41,1922965,$280.68,$305.76,$276.00
01/02/2026,$272.50,1071217,$247.85,$272.701,$246.1101
12/31/2025,$242.76,607722,$247.03,$248.50,$239.00
12/30/2025,$247.03,616138,$248.71,$254.74,$243.54
12/29/2025,$249.24,763254,$247.46,$263.73,$245.1428
12/26/2025,$254.30,553051,$260.39,$260.39,$245.90
12/24/2025,$260.18,341673,$257.01,$262.07,$252.0001
12/23/2025,$258.05,744946,$255.00,$269.145,$253.14
12/22/2025,$261.16,1262895,$270.25,$281.33,$259.00
12/19/2025,$261.77,1573370,$235.20,$265.88,$234.735
12/18/2025,$229.68,861715,$227.61,$237.97,$220.50
12/17/2025,$221.09,831541,$235.87,$241.2999,$220.865
12/16/2025,$235.82,761464,$222.60,$236.91,$220.224
12/15/2025,$228.74,1056288,$250.25,$251.99,$228.5314
12/12/2025,$249.01,1021190,$272.74,$272.74,$243.4801
12/11/2025,$273.11,1001226,$256.79,$274.00,$255.57
12/10/2025,$264.58,1298994,$260.00,$270.50,$248.93
12/09/2025,$264.69,785391,$264.00,$266.77,$258.00
12/08/2025,$268.50,675900,$269.26,$269.53,$258.00
12/05/2025,$266.23,1088678,$287.00,$287.18,$259.00
12/04/2025,$278.63,1098512,$267.51,$286.00,$264.00
12/03/2025,$268.10,721284,$265.00,$269.99,$253.80
12/02/2025,$265.58,745539,$252.68,$270.9999,$252.50
12/01/2025,$251.36,531544,$250.00,$257.415,$248.0431
11/28/2025,$259.30,434532,$259.00,$263.60,$253.56
11/26/2025,$254.22,486016,$254.00,$258.3224,$250.35
11/25/2025,$248.98,580550,$249.84,$252.50,$232.1901
11/24/2025,$249.84,1052360,$237.00,$253.00,$235.0018
11/21/2025,$241.73,1161051,$236.20,$243.6499,$221.3466
11/20/2025,$241.31,1461990,$282.96,$286.00,$239.64
11/19/2025,$264.27,1345252,$252.32,$267.99,$247.9421
11/18/2025,$246.08,884377,$240.08,$251.30,$235.35
11/17/2025,$245.64,850241,$240.00,$251.84,$240.00
11/14/2025,$250.00,1396900,$231.00,$261.00,$230.01
11/13/2025,$253.85,1219576,$263.61,$269.00,$247.87
11/12/2025,$275.60,723204,$277.05,$283.89,$266.79
11/11/2025,$275.54,989117,$279.07,$283.80,$267.16
11/10/2025,$290.20,1478437,$308.99,$317.1743,$280.48
11/07/2025,$294.16,1907272,$254.18,$298.9648,$254.01
11/06/2025,$277.78,2501887,$287.35,$299.90,$266.00
11/05/2025,$325.73,1076692,$331.00,$338.86,$321.0001
11/04/2025,$327.20,1013345,$313.75,$340.00,$312.02
11/03/2025,$342.99,1412424,$350.73,$362.08,$332.00
10/31/2025,$367.46,1041364,$386.00,$390.00,$360.1801
10/30/2025,$383.31,817519,$375.00,$393.9799,$371.00
10/29/2025,$390.82,1538492,$366.24,$401.995,$355.986
10/28/2025,$363.70,1232993,$374.00,$382.27,$354.10
10/27/2025,$359.73,1540098,$391.15,$391.799,$350.60
10/24/2025,$383.00,1539625,$364.33,$388.00,$354.0001
10/23/2025,$344.23,1691045,$320.00,$349.96,$308.0001
10/22/2025,$314.83,3386987,$351.23,$365.00,$293.82
10/21/2025,$377.01,1063434,$385.00,$395.00,$367.7693
10/20/2025,$399.87,1452032,$400.00,$408.99,$372.60
10/17/2025,$380.18,2461098,$398.68,$411.508,$365.64
10/16/2025,$415.43,2058201,$454.00,$464.25,$406.01
10/15/2025,$436.00,2025922,$430.00,$460.50,$412.16
10/14/2025,$396.16,1373663,$387.00,$415.13,$370.0001
10/13/2025,$400.74,1944316,$414.76,$430.00,$387.05
10/10/2025,$363.71,2618459,$380.98,$423.2376,$362.65
10/09/2025,$371.09,1101178,$367.12,$389.41,$362.975
10/08/2025,$364.22,1266746,$378.88,$386.00,$359.0131
10/07/2025,$370.07,1303213,$357.90,$388.62,$357.00
10/06/2025,$356.28,977263,$348.96,$361.369,$339.00
10/03/2025,$343.49,1076985,$351.50,$360.14,$334.05
10/02/2025,$349.09,1005791,$339.97,$350.03,$325.5001
10/01/2025,$331.11,1124759,$303.99,$334.78,$303.5797
09/30/2025,$310.07,1056845,$307.99,$320.755,$306.00
09/29/2025,$315.62,1350380,$316.70,$322.00,$299.4555
09/26/2025,$305.35,1763822,$316.15,$337.999,$297.00
09/25/2025,$312.19,2995270,$265.25,$318.08,$261.5569
09/24/2025,$276.00,1618046,$303.49,$304.966,$276.00
09/23/2025,$302.59,1287470,$310.00,$312.00,$295.05
09/22/2025,$306.22,1943723,$296.88,$312.54,$282.5601
09/19/2025,$294.49,3395635,$260.00,$301.57,$260.00
09/18/2025,$262.65,1886106,$236.02,$264.88,$231.62
09/17/2025,$230.15,950807,$233.00,$235.00,$221.23
09/16/2025,$233.62,1311354,$243.00,$243.24,$226.43
09/15/2025,$243.48,1491582,$222.70,$243.80,$220.13
09/12/2025,$222.13,663185,$220.33,$228.00,$219.90
09/11/2025,$224.32,1182141,$218.00,$232.665,$214.001
09/10/2025,$219.30,884228,$221.53,$225.50,$215.76
09/09/2025,$217.90,1521739,$205.00,$223.98,$202.4387
09/08/2025,$204.68,767656,$205.50,$208.22,$198.20
09/05/2025,$205.39,928353,$201.00,$205.40,$191.68
09/04/2025,$199.01,619566,$202.00,$205.88,$198.06
