Date,Close/Last,Volume,Open,High,Low
02/03/2026,$121.67,4169289,$119.48,$121.90,$119.48
02/02/2026,$119.49,4272958,$121.46,$122.00,$119.0365
01/30/2026,$121.35,5603156,$120.72,$121.43,$120.10
01/29/2026,$120.89,4298358,$120.38,$121.74,$120.29
01/28/2026,$120.24,4463690,$120.20,$121.10,$119.60
01/27/2026,$120.29,4813167,$118.78,$120.32,$118.20
01/26/2026,$118.78,3955560,$118.16,$119.70,$118.0101
01/23/2026,$117.43,4491029,$117.89,$117.94,$116.25
01/22/2026,$117.71,3807207,$119.15,$119.51,$117.62
01/21/2026,$119.37,4751758,$120.19,$120.8399,$118.455
01/20/2026,$119.55,4595325,$119.07,$119.6466,$118.10
01/16/2026,$119.22,4500069,$118.50,$119.40,$117.86
01/15/2026,$118.90,3716377,$118.63,$119.41,$118.45
01/14/2026,$118.68,4555065,$117.57,$119.29,$117.35
01/13/2026,$117.39,3284132,$116.48,$117.56,$115.98
01/12/2026,$116.71,3007805,$116.77,$117.49,$116.27
01/09/2026,$116.80,2885014,$117.39,$118.26,$116.76
01/08/2026,$117.32,3214131,$116.51,$118.60,$116.19
01/07/2026,$116.19,3227807,$118.12,$118.30,$115.95
01/06/2026,$117.74,3303698,$116.76,$117.91,$116.40
01/05/2026,$116.81,4310560,$117.00,$117.00,$115.10
01/02/2026,$117.44,2619778,$117.18,$118.07,$116.38
12/31/2025,$117.21,1973886,$117.70,$117.8074,$117.10
12/30/2025,$117.68,1835231,$117.59,$117.94,$117.25
12/29/2025,$117.52,2489135,$117.30,$118.03,$117.08
12/26/2025,$117.18,1440329,$117.16,$117.80,$116.7701
12/24/2025,$117.48,1060648,$117.19,$117.51,$116.82
12/23/2025,$116.79,3627782,$116.37,$117.19,$116.12
12/22/2025,$116.30,2477207,$115.30,$116.46,$115.00
12/19/2025,$115.56,6898929,$117.43,$117.49,$115.55
12/18/2025,$117.55,4610997,$117.34,$117.81,$116.65
12/17/2025,$117.43,4436714,$115.47,$117.91,$115.395
12/16/2025,$115.59,3222345,$116.98,$117.22,$115.24
12/15/2025,$116.73,3797308,$115.81,$116.95,$115.41
12/12/2025,$115.30,2955758,$114.50,$115.35,$114.4014
12/11/2025,$114.39,2992545,$114.56,$115.50,$113.99
12/10/2025,$114.00,3366712,$115.28,$115.40,$113.895
12/09/2025,$115.24,2929958,$115.795,$116.205,$115.05
12/08/2025,$115.22,5217240,$116.20,$116.42,$114.13
12/05/2025,$116.52,3983086,$117.84,$118.18,$116.40
12/04/2025,$117.97,3150968,$118.38,$119.44,$117.84
12/03/2025,$118.62,3328360,$119.87,$120.56,$118.3699
12/02/2025,$119.69,3554648,$121.10,$121.142,$119.37
12/01/2025,$120.75,4050608,$123.21,$123.46,$120.67
11/28/2025,$123.94,1439813,$123.15,$124.125,$123.04
11/26/2025,$123.43,3374751,$122.41,$123.595,$121.95
11/25/2025,$121.93,2835199,$122.26,$122.98,$121.59
11/24/2025,$122.09,3442653,$123.07,$123.41,$121.40
11/21/2025,$122.80,4407106,$122.94,$123.39,$121.91
11/20/2025,$122.54,2639228,$122.28,$122.98,$121.86
11/19/2025,$122.23,3410994,$123.88,$123.88,$121.45
11/18/2025,$123.80,3774274,$125.65,$125.93,$123.79
11/17/2025,$125.18,3879929,$123.33,$125.21,$122.8552
11/14/2025,$122.71,3878344,$123.33,$124.20,$122.25
11/13/2025,$123.59,3278003,$123.76,$124.59,$123.1003
11/12/2025,$123.90,3239116,$123.66,$124.29,$123.43
11/11/2025,$123.67,3101774,$123.13,$124.22,$122.313
11/10/2025,$122.93,4442405,$123.05,$123.68,$121.835
11/07/2025,$123.66,5457039,$124.10,$125.72,$122.41
11/06/2025,$124.00,4674724,$123.60,$124.86,$123.40
11/05/2025,$123.77,3822468,$123.79,$124.48,$123.17
11/04/2025,$123.83,3169808,$124.34,$124.5099,$123.49
