Date,Close/Last,Volume,Open,High,Low
02/02/2026,$754.97,4074379,$739.68,$762.36,$733.00
01/30/2026,$726.37,3865733,$716.495,$752.015,$715.96
01/29/2026,$717.39,3490954,$717.00,$722.72,$681.70
01/28/2026,$711.59,5776324,$691.40,$723.00,$674.01
01/27/2026,$692.70,4714661,$673.425,$696.40,$673.425
01/26/2026,$665.99,2662114,$656.00,$687.68,$656.00
01/23/2026,$657.78,2009616,$662.18,$666.13,$649.00
01/22/2026,$661.67,2858754,$671.91,$679.33,$645.26
01/21/2026,$667.89,4022742,$686.23,$690.05,$652.59
01/20/2026,$684.86,3901877,$668.12,$701.00,$664.545
01/16/2026,$681.55,4986755,$665.06,$692.50,$663.00
01/15/2026,$642.23,2394934,$654.17,$666.28,$639.43
01/14/2026,$644.18,2396203,$647.92,$654.00,$637.20
01/13/2026,$652.09,2090153,$641.00,$659.17,$640.3994
01/12/2026,$639.77,2828854,$619.87,$644.75,$617.11
01/09/2026,$622.50,3105778,$632.32,$632.32,$621.11
01/08/2026,$628.40,4310075,$661.12,$661.12,$619.75
01/07/2026,$662.32,2601080,$686.00,$686.99,$661.30
01/06/2026,$686.33,2490832,$681.11,$687.045,$658.80
01/05/2026,$680.86,2446599,$690.62,$698.74,$669.50
01/02/2026,$679.55,2741768,$661.19,$679.77,$658.40
12/31/2025,$653.57,1259928,$656.80,$666.66,$652.75
12/30/2025,$659.64,1206972,$665.65,$668.44,$659.35
12/29/2025,$663.46,2186083,$659.60,$671.00,$651.6901
12/26/2025,$663.46,1155311,$667.46,$668.20,$660.4899
12/24/2025,$667.32,1110890,$660.63,$673.50,$658.27
12/23/2025,$661.45,1997567,$664.82,$664.82,$654.00
12/22/2025,$661.81,2694275,$671.11,$671.40,$656.80
12/19/2025,$658.28,4489097,$646.78,$660.59,$641.60
12/18/2025,$639.43,4426464,$649.30,$658.69,$636.535
12/17/2025,$614.19,6770081,$687.00,$693.9999,$613.09
12/16/2025,$686.22,3572244,$687.00,$699.88,$671.0052
12/15/2025,$681.35,3529608,$688.48,$695.05,$675.00
12/12/2025,$671.71,5225703,$697.85,$698.94,$656.37
12/11/2025,$704.20,4830880,$711.15,$711.15,$681.20
12/10/2025,$723.00,11396420,$692.15,$731.00,$679.0001
12/09/2025,$625.30,3017483,$617.00,$636.88,$613.2001
12/08/2025,$621.90,2540100,$631.06,$636.3977,$607.40
12/05/2025,$631.32,2348031,$630.86,$640.00,$621.20
12/04/2025,$629.11,3698500,$605.00,$639.14,$602.90
12/03/2025,$601.97,2754483,$595.88,$608.8468,$575.38
12/02/2025,$601.58,2890812,$586.17,$609.84,$585.0001
12/01/2025,$576.90,2302455,$590.00,$590.00,$574.80
11/28/2025,$599.77,1006604,$595.00,$599.77,$588.53
11/26/2025,$589.72,2223829,$581.70,$596.98,$579.48
11/25/2025,$572.56,2356480,$575.00,$582.00,$553.25
11/24/2025,$580.49,2748868,$559.44,$583.00,$558.26
11/21/2025,$555.84,4872810,$563.01,$565.75,$530.16
11/20/2025,$558.03,4874636,$607.20,$628.01,$557.69
11/19/2025,$595.37,4212143,$561.00,$600.00,$560.80
11/18/2025,$554.93,2986001,$569.06,$576.4783,$552.84
11/17/2025,$577.02,2998024,$573.00,$592.35,$569.84
11/14/2025,$578.31,4037287,$545.20,$591.81,$542.9087
11/13/2025,$558.17,5166875,$574.32,$574.32,$537.36
11/12/2025,$575.40,2026343,$579.46,$588.94,$574.01
11/11/2025,$576.08,1748507,$580.605,$582.80,$563.10
11/10/2025,$579.80,2555821,$586.32,$595.84,$568.20
11/07/2025,$575.13,2823781,$546.70,$576.89,$539.10
11/06/2025,$550.17,2215252,$558.09,$560.505,$545.41
11/05/2025,$559.70,2844722,$550.00,$567.53,$541.29
11/04/2025,$547.96,3994942,$571.00,$576.21,$541.44
11/03/2025,$581.26,1853237,$590.50,$593.27,$576.76
10/31/2025,$585.14,2789457,$580.13,$592.00,$576.50
10/30/2025,$574.07,2305116,$570.00,$592.67,$569.50
10/29/2025,$577.97,2808513,$576.27,$585.575,$569.2712
10/28/2025,$570.98,3589268,$590.00,$591.92,$565.00
10/27/2025,$584.39,2842374,$590.80,$594.075,$580.01
10/24/2025,$584.39,3694197,$607.00,$613.81,$584.18
10/23/2025,$595.15,3952712,$580.00,$600.00,$580.00
10/22/2025,$576.00,10333100,$607.00,$609.54,$532.72
10/21/2025,$585.33,3956373,$593.86,$596.7799,$581.76
10/20/2025,$594.07,2634422,$608.12,$610.00,$593.68
10/17/2025,$600.00,2747710,$595.27,$608.8188,$591.6511
10/16/2025,$602.00,3500605,$621.50,$623.625,$595.20
10/15/2025,$615.95,3246024,$650.17,$664.6931,$613.59
10/14/2025,$644.41,2890472,$635.00,$656.8799,$615.84
10/13/2025,$648.25,3406783,$613.18,$655.99,$613.1401
10/10/2025,$604.56,3003569,$630.00,$634.27,$602.5953
10/09/2025,$634.27,2414018,$629.00,$637.15,$621.111
10/08/2025,$625.45,2286471,$613.00,$626.4405,$599.00
10/07/2025,$606.12,2161662,$603.155,$609.39,$592.00
10/06/2025,$603.22,1950843,$606.00,$608.59,$593.70
10/03/2025,$594.99,2668461,$610.29,$611.75,$588.00
10/02/2025,$606.23,2044562,$611.11,$622.50,$603.615
10/01/2025,$606.15,2423637,$599.64,$610.66,$595.00
09/30/2025,$614.90,1818698,$604.88,$614.94,$603.2989
09/29/2025,$602.43,2188685,$612.45,$616.44,$596.38
09/26/2025,$605.17,1845327,$610.00,$615.14,$598.11
09/25/2025,$607.52,3202477,$614.905,$619.747,$593.38
09/24/2025,$628.97,1617199,$640.00,$642.00,$624.19
09/23/2025,$633.41,2427243,$644.68,$644.7211,$622.2002
09/22/2025,$644.37,2566029,$620.11,$648.50,$620.11
09/19/2025,$624.17,4107343,$611.69,$625.66,$596.5064
09/18/2025,$611.00,2245558,$622.96,$627.10,$611.00
09/17/2025,$614.79,2058377,$616.40,$619.1138,$601.12
09/16/2025,$617.91,3104072,$629.50,$633.52,$608.73
09/15/2025,$628.68,1851879,$630.15,$639.89,$624.10
09/12/2025,$625.55,2640351,$632.12,$646.8799,$624.15
09/11/2025,$634.15,4099922,$648.75,$653.50,$620.10
09/10/2025,$643.56,3878653,$625.00,$645.19,$623.00
09/09/2025,$605.70,1863901,$606.35,$607.69,$594.77
09/08/2025,$600.23,2513708,$594.41,$606.00,$584.9401
09/05/2025,$582.08,3477710,$599.96,$604.50,$565.50
