Date,Close/Last,Volume,Open,High,Low
02/02/2026,$27.71,1721190,$29.05,$29.4375,$27.66
01/30/2026,$29.395,2992389,$31.20,$32.61,$28.755
01/29/2026,$32.11,2553374,$34.005,$34.11,$30.15
01/28/2026,$34.55,4076922,$35.25,$35.48,$33.10
01/27/2026,$35.08,1780533,$32.60,$36.11,$32.00
01/26/2026,$32.79,1484231,$33.90,$34.75,$32.30
01/23/2026,$34.73,1427105,$35.54,$36.2999,$33.8395
01/22/2026,$36.09,1505617,$35.36,$37.01,$34.76
01/21/2026,$34.76,3849569,$35.94,$38.50,$32.2014
01/20/2026,$33.86,1745341,$33.63,$35.33,$33.50
01/16/2026,$35.67,2029447,$33.26,$36.46,$32.6332
01/15/2026,$33.38,1773280,$34.54,$35.85,$33.26
01/14/2026,$34.37,1669677,$32.10,$35.15,$31.25
01/13/2026,$32.42,1111804,$33.91,$34.2499,$32.00
01/12/2026,$33.46,1593009,$31.74,$33.575,$31.0901
01/09/2026,$32.01,3541557,$35.11,$35.90,$31.78
01/08/2026,$33.05,1759733,$30.78,$33.30,$30.3295
01/07/2026,$31.36,1826263,$31.20,$32.65,$30.75
01/06/2026,$31.92,2474710,$32.19,$32.44,$29.93
01/05/2026,$30.95,3130998,$28.99,$31.6299,$28.00
01/02/2026,$27.61,2625051,$25.15,$27.61,$23.88
12/31/2025,$24.01,2446936,$24.20,$24.8799,$23.61
12/30/2025,$24.89,3026569,$26.00,$26.24,$24.69
12/29/2025,$26.42,2955708,$27.70,$28.70,$26.23
12/26/2025,$28.49,1970741,$29.76,$29.79,$28.04
12/24/2025,$30.30,2096119,$31.30,$31.555,$29.3242
12/23/2025,$31.75,1969736,$32.66,$33.5987,$31.70
12/22/2025,$32.98,1478043,$33.92,$33.98,$32.17
12/19/2025,$33.03,4186243,$31.00,$33.415,$30.66
12/18/2025,$30.23,1662673,$30.98,$32.35,$30.022
12/17/2025,$29.99,1650231,$32.385,$32.95,$29.75
12/16/2025,$32.31,1120462,$30.80,$32.7152,$30.44
12/15/2025,$31.35,1915896,$35.68,$35.88,$31.265
12/12/2025,$35.41,1533717,$38.81,$38.86,$34.64
12/11/2025,$38.86,2134253,$35.80,$39.87,$34.20
12/10/2025,$36.46,1516412,$35.50,$37.04,$34.80
12/09/2025,$36.19,915966,$35.25,$36.52,$34.85
12/08/2025,$35.77,1106523,$37.02,$37.8799,$35.03
12/05/2025,$35.76,1527399,$35.56,$36.50,$34.60
12/04/2025,$36.57,2363925,$33.71,$37.30,$33.375
12/03/2025,$33.89,1084478,$32.33,$33.99,$31.69
12/02/2025,$32.90,1637188,$32.10,$34.3899,$32.07
12/01/2025,$31.53,1105489,$31.75,$32.1699,$31.0777
11/28/2025,$32.70,980169,$31.53,$33.00,$31.1101
11/26/2025,$30.84,1633742,$31.35,$31.75,$30.40
11/25/2025,$30.26,1508983,$29.67,$30.56,$28.12
11/24/2025,$30.29,2061418,$30.39,$30.555,$29.33
11/21/2025,$29.79,2211033,$29.60,$30.58,$27.50
11/20/2025,$29.33,2612249,$34.595,$34.89,$29.08
11/19/2025,$32.46,1845753,$33.08,$34.00,$32.30
11/18/2025,$31.81,1493542,$30.93,$32.35,$30.51
11/17/2025,$30.98,2143363,$32.92,$33.25,$30.04
11/14/2025,$32.76,2097404,$32.00,$34.66,$31.31
11/13/2025,$33.70,2216953,$35.80,$35.845,$33.00
11/12/2025,$36.57,1639687,$36.90,$38.1099,$35.5501
11/11/2025,$36.13,1738810,$37.15,$37.37,$35.6315
11/10/2025,$37.90,2223643,$41.12,$41.50,$36.81
11/07/2025,$39.18,2622416,$36.90,$39.25,$34.80
11/06/2025,$38.43,2322869,$43.32,$43.37,$38.40
11/05/2025,$43.47,2291528,$43.43,$45.46,$42.50
11/04/2025,$41.58,2139393,$43.00,$44.14,$41.55
11/03/2025,$45.24,2881565,$47.58,$47.58,$42.90
10/31/2025,$47.54,3210723,$48.73,$49.50,$45.55
10/30/2025,$47.01,2543203,$46.00,$49.20,$45.71
10/29/2025,$47.83,3211969,$44.50,$48.62,$43.641
10/28/2025,$44.14,3345026,$44.06,$46.70,$43.34
10/27/2025,$43.54,3111167,$46.36,$46.46,$42.30
10/24/2025,$44.34,3633788,$45.30,$45.68,$43.44
10/23/2025,$42.49,4212831,$40.63,$43.34,$39.1001
10/22/2025,$38.85,6176037,$41.46,$41.69,$36.70
10/21/2025,$42.09,3694763,$45.10,$45.19,$41.75
10/20/2025,$46.07,2775222,$49.465,$49.7999,$45.10
10/17/2025,$47.84,3583023,$46.42,$48.85,$45.3108
10/16/2025,$48.41,5838234,$53.88,$54.00,$46.9518
10/15/2025,$52.72,7864120,$57.30,$60.87,$50.11
10/14/2025,$54.38,5963640,$52.165,$57.10,$52.11
10/13/2025,$54.44,7430736,$48.35,$55.3599,$47.63
10/10/2025,$45.83,9297727,$48.295,$51.50,$44.8536
10/09/2025,$47.41,6948809,$48.305,$49.47,$45.6303
10/08/2025,$47.04,11442770,$52.09,$53.00,$47.00
10/07/2025,$56.63,8330061,$55.00,$60.51,$54.00
10/06/2025,$53.63,8815648,$45.92,$56.4596,$45.75
10/03/2025,$44.49,4749396,$42.00,$46.875,$41.30
10/02/2025,$41.69,2453643,$40.21,$41.74,$38.80
10/01/2025,$39.11,1755416,$38.49,$39.49,$37.70
09/30/2025,$38.56,1985948,$38.20,$39.0853,$37.55
09/29/2025,$39.14,2016276,$40.93,$41.35,$39.021
09/26/2025,$39.29,2184975,$41.21,$41.57,$38.83
09/25/2025,$41.40,3499869,$40.10,$41.99,$38.56
09/24/2025,$42.58,4107383,$46.805,$47.4299,$42.32
09/23/2025,$46.35,3462096,$45.47,$46.4232,$43.70
09/22/2025,$45.37,5201830,$43.08,$45.98,$41.25
09/19/2025,$46.31,13423850,$38.30,$46.43,$38.22
09/18/2025,$38.21,4139490,$36.67,$38.35,$36.39
09/17/2025,$35.81,2401523,$35.85,$36.49,$34.5781
09/16/2025,$36.29,2699592,$37.23,$37.36,$35.85
09/15/2025,$37.35,5323844,$33.80,$37.52,$33.52
09/12/2025,$33.06,1451779,$32.70,$33.50,$32.60
09/11/2025,$32.96,2197932,$31.40,$33.30,$31.11
09/10/2025,$31.44,2388316,$33.40,$33.685,$31.24
09/09/2025,$32.57,1538344,$31.60,$32.65,$31.10
09/08/2025,$31.88,1239051,$31.90,$32.30,$31.45
09/05/2025,$31.68,1483353,$31.74,$31.92,$30.12
09/04/2025,$31.17,1873525,$32.29,$32.6512,$30.94
09/03/2025,$32.00,2814492,$33.805,$34.68,$31.92
09/02/2025,$32.61,2440152,$30.59,$32.66,$29.82
08/29/2025,$32.54,2052787,$34.00,$34.15,$32.05
08/28/2025,$34.50,3168889,$33.50,$34.85,$33.02
08/27/2025,$32.89,2608642,$32.10,$33.44,$32.02
08/26/2025,$32.33,2585760,$30.75,$32.40,$30.75
08/25/2025,$30.98,1671632,$31.40,$32.0819,$30.55
08/22/2025,$31.32,2740389,$29.06,$31.52,$28.28
08/21/2025,$29.12,2268559,$29.22,$29.55,$28.70
08/20/2025,$29.045,2956702,$29.00,$29.515,$27.87
08/19/2025,$29.325,4025933,$31.91,$32.00,$29.2346
08/18/2025,$32.055,6123177,$34.00,$34.26,$31.55
08/15/2025,$35.89,2742918,$35.92,$37.07,$34.37
08/14/2025,$35.20,2154828,$35.40,$36.00,$34.29
08/13/2025,$36.09,2269024,$37.40,$37.77,$35.2801
08/12/2025,$36.82,2849628,$35.16,$37.36,$34.85
08/11/2025,$35.13,2400782,$35.16,$35.94,$34.2838
08/08/2025,$35.46,2410878,$37.00,$37.62,$35.16
08/07/2025,$36.90,2350591,$38.06,$38.50,$35.80
08/06/2025,$38.29,2757211,$38.00,$39.30,$37.30
08/05/2025,$37.95,3828099,$36.25,$38.85,$36.10
08/04/2025,$35.58,2368758,$35.34,$36.3299,$34.45
08/01/2025,$33.99,3024562,$34.36,$34.80,$33.22
07/31/2025,$35.43,6740889,$36.72,$38.19,$35.39
07/30/2025,$36.07,4824546,$35.795,$38.1795,$35.2051
07/29/2025,$35.45,4791216,$38.18,$39.32,$35.44
07/28/2025,$37.88,7890345,$42.68,$42.8899,$37.20
07/25/2025,$41.85,7367231,$38.70,$43.75,$38.06
07/24/2025,$38.95,5595320,$36.72,$40.59,$36.62
07/23/2025,$36.92,3524019,$34.91,$37.28,$34.71
