Date,Close/Last,Volume,Open,High,Low
02/03/2026,$0.10,322842,$0.10,$0.115,$0.0628
02/02/2026,$0.091,35574,$0.09,$0.10,$0.09
01/30/2026,$0.095,90375,$0.11,$0.11,$0.09
01/29/2026,$0.10,132314,$0.11,$0.11,$0.095
01/28/2026,$0.115,1069993,$0.075,$0.12,$0.075
01/27/2026,$0.06,N/A,$0.06,$0.06,$0.06
01/26/2026,$0.06,36148,$0.05,$0.06,$0.05
01/23/2026,$0.05,3200,$0.05,$0.05,$0.05
01/22/2026,$0.08,20100,$0.05,$0.08,$0.05
01/21/2026,$0.08,N/A,$0.08,$0.08,$0.08
01/20/2026,$0.08,N/A,$0.08,$0.08,$0.08
01/16/2026,$0.08,48135,$0.07,$0.08,$0.031
01/15/2026,$0.06,N/A,$0.06,$0.06,$0.06
01/14/2026,$0.06,665,$0.06,$0.06,$0.06
01/13/2026,$0.07,N/A,$0.07,$0.07,$0.07
01/12/2026,$0.07,1999,$0.07,$0.07,$0.07
01/09/2026,$0.07,10426,$0.06,$0.07,$0.06
01/08/2026,$0.0589,N/A,$0.0589,$0.0589,$0.0589
01/07/2026,$0.0589,N/A,$0.0589,$0.0589,$0.0589
01/06/2026,$0.0589,11014,$0.05,$0.0589,$0.05
01/05/2026,$0.041,N/A,$0.041,$0.041,$0.041
01/02/2026,$0.041,20494,$0.06,$0.06,$0.041
12/31/2025,$0.0305,10155,$0.0305,$0.0305,$0.0305
12/30/2025,$0.06,5686,$0.0355,$0.06,$0.0355
12/29/2025,$0.0455,1006,$0.0455,$0.0455,$0.0455
12/26/2025,$0.06,2765,$0.06,$0.06,$0.06
12/24/2025,$0.07,7664,$0.01,$0.07,$0.01
12/23/2025,$0.05,8302,$0.02,$0.05,$0.02
12/22/2025,$0.08,9245,$0.08,$0.08,$0.08
12/19/2025,$0.07,9895,$0.035,$0.07,$0.035
12/18/2025,$0.1277,106001,$0.0325,$0.1277,$0.0325
12/17/2025,$0.04,N/A,$0.04,$0.04,$0.04
12/16/2025,$0.04,16250,$0.04,$0.04,$0.04
12/15/2025,$0.1026,N/A,$0.1026,$0.1026,$0.1026
12/12/2025,$0.1026,11161,$0.0312,$0.1226,$0.0312
12/11/2025,$0.08,25000,$0.0315,$0.08,$0.0315
12/10/2025,$0.08,3252,$0.0325,$0.09,$0.0325
12/09/2025,$0.08,N/A,$0.08,$0.08,$0.08
12/08/2025,$0.08,N/A,$0.08,$0.08,$0.08
12/05/2025,$0.08,11401,$0.06,$0.12,$0.0312
12/04/2025,$0.06,8900,$0.0315,$0.06,$0.0315
12/03/2025,$0.06,1506,$0.06,$0.06,$0.06
12/02/2025,$0.06,5025,$0.06,$0.06,$0.06
12/01/2025,$0.06,N/A,$0.06,$0.06,$0.06
11/28/2025,$0.06,2000,$0.06,$0.06,$0.06
11/26/2025,$0.06,N/A,$0.06,$0.06,$0.06
11/25/2025,$0.06,6829,$0.0422,$0.06,$0.0422
11/24/2025,$0.0405,14500,$0.0405,$0.0405,$0.0405
11/21/2025,$0.104,105035,$0.104,$0.109,$0.085
11/20/2025,$0.104,94095,$0.10,$0.11,$0.0925
11/19/2025,$0.10,39770,$0.12,$0.12,$0.085
11/18/2025,$0.10,122068,$0.065,$0.10,$0.065
11/17/2025,$0.10,54044,$0.1088,$0.11,$0.0651
11/14/2025,$0.1088,101997,$0.07,$0.11,$0.07
11/13/2025,$0.085,232456,$0.10,$0.10,$0.075
11/12/2025,$0.099,405773,$0.1075,$0.1075,$0.065
11/11/2025,$0.1075,141268,$0.01,$0.1075,$0.01
11/10/2025,$0.1075,134365,$0.0415,$0.12,$0.0415
11/07/2025,$0.1249,167424,$0.14,$0.14,$0.105
11/06/2025,$0.1115,49356,$0.0677,$0.12,$0.0677
11/05/2025,$0.11,511686,$0.11,$0.12,$0.10
11/04/2025,$0.12,375693,$0.125,$0.125,$0.1088
11/03/2025,$0.1249,348548,$0.1055,$0.149,$0.1055
10/31/2025,$0.11,722442,$0.154,$0.154,$0.098
10/30/2025,$0.14,2006853,$0.0885,$0.155,$0.0883
10/29/2025,$0.0883,941613,$0.061,$0.09,$0.055
10/28/2025,$0.061,1837438,$0.027,$0.075,$0.027
10/27/2025,$0.0271,N/A,$0.0271,$0.0271,$0.0271
10/24/2025,$0.0271,N/A,$0.0271,$0.0271,$0.0271
10/23/2025,$0.0271,N/A,$0.0271,$0.0271,$0.0271
10/22/2025,$0.0271,2376,$0.0271,$0.0271,$0.0271
10/21/2025,$0.0271,285,$0.0271,$0.0271,$0.0271
10/20/2025,$0.026,1600,$0.0271,$0.0271,$0.0156
10/17/2025,$0.0115,5000,$0.0115,$0.0115,$0.0115
10/16/2025,$0.0125,5570,$0.0114,$0.0125,$0.0114
10/15/2025,$0.0115,N/A,$0.0115,$0.0115,$0.0115
10/14/2025,$0.0115,N/A,$0.0115,$0.0115,$0.0115
10/13/2025,$0.0115,10300,$0.0271,$0.0271,$0.0115
10/10/2025,$0.026,7756,$0.026,$0.026,$0.026
10/09/2025,$0.0175,N/A,$0.0175,$0.0175,$0.0175
10/08/2025,$0.0175,6172,$0.0271,$0.0271,$0.017
10/07/2025,$0.027,650,$0.027,$0.027,$0.027
10/06/2025,$0.027,N/A,$0.027,$0.027,$0.027
10/03/2025,$0.027,N/A,$0.027,$0.027,$0.027
10/02/2025,$0.027,1463,$0.027,$0.027,$0.027
10/01/2025,$0.0276,19000,$0.0276,$0.0494,$0.0276
09/30/2025,$0.0276,N/A,$0.0276,$0.0276,$0.0276
09/29/2025,$0.0276,1000,$0.0276,$0.0276,$0.0276
09/26/2025,$0.0275,N/A,$0.0275,$0.0275,$0.0275
09/25/2025,$0.0275,N/A,$0.0275,$0.0275,$0.0275
09/24/2025,$0.0275,100,$0.0275,$0.0275,$0.0275
09/23/2025,$0.0275,5200,$0.0265,$0.0275,$0.0265
09/22/2025,$0.05,N/A,$0.05,$0.05,$0.05
09/19/2025,$0.05,24400,$0.0105,$0.05,$0.0105
09/18/2025,$0.0255,N/A,$0.0255,$0.0255,$0.0255
09/17/2025,$0.0255,2586,$0.0255,$0.0255,$0.0255
