Date,Close/Last,Volume,Open,High,Low
02/02/2026,$29.87,576669,$29.82,$30.4985,$29.58
01/30/2026,$29.83,1260764,$28.55,$30.51,$28.45
01/29/2026,$28.45,788006,$28.94,$29.34,$28.45
01/28/2026,$29.00,682658,$28.91,$29.15,$28.44
01/27/2026,$28.81,673010,$28.30,$29.15,$28.27
01/26/2026,$28.27,414488,$28.50,$28.6499,$28.21
01/23/2026,$28.35,582832,$28.18,$28.61,$28.02
01/22/2026,$28.14,452075,$28.19,$28.97,$28.06
01/21/2026,$28.06,369594,$27.77,$28.16,$27.72
01/20/2026,$27.67,374285,$27.96,$28.03,$27.48
01/16/2026,$28.20,566148,$27.78,$28.52,$27.78
01/15/2026,$28.00,443576,$28.17,$28.445,$27.95
01/14/2026,$28.08,530458,$28.50,$28.76,$28.00
